,Age,Birthday,Favorite books or authors,Favorite noveling music,Hobbies,Location,Occupation,Primary Role,Sponsorship URL
0,,,"Anne McCaffrey, Seanan McGuire, Kim Harrison, R.A. Salvatore, Laurel K Hamilton, Janet Evanovich, Julia Quinn, Stephanie Meyers, J.K. Rowling, Christopher Paolini, Patricia Briggs... Hmm. Maybe I should list who I *don't*",90s music when I'm stuck - but Lindsey Stirling or Jennifer Thomas when I'm fully in the groove.,"Writing, reading, drawing, video games (go Warcraft!)","Austin, TX",Starbucks Shift Supervisor,,
0,,,"Sandra Tsing Loh, Robertson Davies, Nick Hornby, James Thurber, Mary","classic, new age, swing jazz, air pudding","movies, fine dining, travel","Austin, Texas",web marketing,,
0,,,"Sabriel by Garth Nix, Beauty by Robin McKinley, The Naming by Alison Croggon, Garth Nix, Robin","Florence and the Machine, Wild Child, Head and the Heart, Nightwish, Mae, the Arcade Fire, Iron and Wine, Deathcab for Cutie, the Decemberists, Quiet Company, and some progressive trance radio.","Yoga, Ceramics, Bicycling, Reading, Rock Climbing, and uh, Writing.","Round Rock, Texas",Case Manager,,
0,35,May 21,"The Harry Potter Series, The Sookie Stackhouse Series, ""Hello Darlin, Tall and Absolutely true tales about my life""-Larry Hagman, ""roll me up and smoke me when I die""-Willie Nelson, ""Cash The Autobiography""-Johnny",pandora radio,"Cooking, writing, playing board games.","Austin, Texas",Temp/contractor-IT support call center for large retailer,,
0,40,,"Stephen King, Kurt Vonnegut Jr, John Irving, Harper Fox, Jordan Castillo Price, Heidi Cullinan, Josh Lanyon, Roald Dahl, Lemony Snicket, Terry",Movie and TV soundtracks and scores and other random songs I hear on TV,,MD,,,
0,57,,"Misty of Chincoteague; anything by Kathryn Lynn Davis, Diana Gabaldon and Tasha",Bach's Brandenburg Concerti,"writing, reading, crocheting, playing with my grandson","Austin, Texas",Freelance project manager/senior copywriter,,
0,,,,https://coffitivity.com/,"Dogs, movies and books",Austin,Novelist and creative writing,,
0,17,April 1,"Harry Potter series, Caster Chronicles, The Lovely Bones, The Book Thief. Also, anything by John","Blink 182, Panic! At The Disco, The 1975, Jimmy Eat World, The Pretty Reckless, My Chemical Romance, Fall Out Boy, Grouplove, The Killers, The Offspring, Death Cab for Cutie, M.I.A.","Reading, writing, running. Time not spend doing these things is probably being spent on Tumblr or Netflix.","Jacksonville, Florida",Student,,https://www.classy.org/fundraise?fcid=361464
0,,,,"The Glitch Mob, Tool, Mogwai, Grimes","Travel, reading, blogging, web design, dare I say writing?","Austin, TX",Content,,
0,29,,"Iris johansen, Kay Hooper, Robert frost, Edgar A",classical and gaming and movie soundtracks.,"reading, writing, gaming","Austin, TX",Customer Service rep by day and Writer by night!,,
0,41,April 14,"Michael Chabon, Lauren Groff, Mary Roach, Elizabeth Hand, Neil Gaiman, Mary Shelley, Kirsten Miller, Ransom Riggs, Denise Hamilton, Sylvia Plath, mysteries of any kind, sci-fi, the Motley Crue biography ""The",The sound of silence. (Not the Simon & Garfunkel song. Actual silence.),"Procrastination, power napping, spending way too much time on the internet. Secondary interests are reading comic books, reading in general, foisting unwanted attention on my pets, drawing, painting, art journaling, perfume hoarding, and collecting thrift store and kitsch items.","Vancouver, USA",Licensed Mental Health Counselor,,
0,,,,Opera,"Writing, reading, and chasing my children","Austin, TX",Author & Grant,,
0,,,"Sewer, Gas & Electric; Jane Eyre; Gone With the Wind; Songmaster, Lurlene McDaniel, Orscon Scott Card, Robin McKinley, Charles de","Probably my iPod. So Sarah McLachlan, TobyMac, Kathryn Rose, and Rebecca St James (among others).","Autism, guinea pigs, spirituality, art, ADHD, crochet, knitting","Recliner, sewing room, or coffee shop...","Freelance Writer & Editor, Homemaker",Municipal Liaison,
0,,,,Film scores (or music without lyrics),"Piano, American Sign Language",Arkansas,,Municipal Liaison,
0,25,,"I like to think I haven't yet read my favorite book, though Glass Bead Game has been very","I always start with Clubbed to Death - Rob Dougan, after that it depends on what is happening.","Volleyball, politics, staying up at night trying to solve world problems, etc.",Austin,Student,,
0,,,,"Diamond Rings, Non-lyrical Movie Scores (Jurassic Park is my favorite), Gillian Welch, The Civil Wars, Lana Del Rey",,San Marcos/ South Austin,,,
0,,,"Charles DeLint, Mary Stewart, Diana Gabaldon, Robert Heinlein, Katherine Kurtz, S. A. Hunt, Jasper","The Grand Budapest Hotel soundtrack, Philip Glass, Seamus Egan, Mundi, Cat Stevens, indie folk","Writing, gardening, herbalism, home brewing, indie publishing, chasing my cats and dog around","Austin, TX",Professional copywriter and novelist,Municipal Liaison,https://www.classy.org/fundraise?fcid=523068
0,,,,Classical,"Scrapbooking, reading, animal rescue, cooking","Austin, Texas",Web,,
0,61,April 25,Secret Life of,Sounds of nature,Gardening and camping,"Austin, Tx",Retired executive assistant and teacher,,
0,,,"Stephen King, Dean Koontz, J. D. Robb, Michelle Sagara, Mercedes",depends on the scene,"Computer/Video games, reading, music",Texas,,,
0,,,,,,"Austin, TX",,,
0,,,"Sons and Lovers, Marry Me, Cold Mountain, Rules, Summer of the Swans, John Updike, DH Lawrence, Margaret Atwood, Sonya",Whatever's playing at Austin Java,"Photography, running, blogging","Austin, TX","USA Today bestselling author of romance, suspense, and women's fiction",,
0,,,"Lamb, Good Omens, The Time Machine, Alice in Wonderland, Christopher Moore, Neil Gaiman, Terry Pratchett, Issac Asimov, Chelsea Handler, there are so","a little of everything, especially if it comes with a Music Video","Capoeria, Doctor Who, Motorcycles, Beer and anything that combines these together",San Antonio - Writing Groups and Bars to keep me going,System Admin,Municipal Liaison,
0,,,,,,"Austin, TX",Snr. Interactive Marketing,,
0,,,,,,"Austin, TX",,,
0,,,,,,"Hutto, Texas",,,
0,,,"Stephen King, Peter David, Terry Goodkind, JK Rowling, DJ MacHale, Tanya","Mostly country, but I like a lot of different styles","Reading, Movies, Acting, Games","Santa Ana, CA",Accounting,,http://www.classy.org/flickguy2015
0,,,,Simply Noise white noise app,"Reading, Football, Broadway, Chocolate","New Orleans, LA",,,
0,,,"To Kill a Mockingbird,",Silence...,"cooking, writing, ignoring my children","Liberty Hill, Texas",Mommy/Writer,,
0,30,,"Alice's Adventures in Wonderland and Through the Looking Glass and What Alice Found There; Nora Roberts, Holly Black, Mercedes Lackey, JK Rowling, Jane Austen, and Jim","Lindsay Sterling, Glenn Miller, and Alanis Morissette","Reading, writing, crocheting, playing tag with my cat, laughing, cooking, baking, and using the Oxford Comma.","Leander, Texas",Craft store wizard,,
0,27,July 19,"Tolkien, Kelly",movie soundtracks,writing,Texas,student,,
0,,,"Terry Pratchett, Jim Butcher, Connie Willis, C.S. Lewis, J.R.R. Tolkein, Suzanne Martel, Guy Gavriel Kay, Jonathan Stroud, e e cummings,Tom",classical,"reading (audiobooks!), playing with my pet bird, baking, cross stitch, singing, Catholicism (yes, my religion is also a hobby)","Toronto, Ontario, Canada",Admin Assistant,Municipal Liaison,
0,,,I'm really enjoying Guy Gavriel,,"sewing, knitting, drawing, videogame-ing, watching TV... etc?","Canada, eh!",animanator,,
0,23,,Diane,Florence & the Machine,,"near Toronto, Canada",,,
0,,May 5,"Magic's Price, Star Sister, Phoenix and Ashes, The Fairy Godmother, The Fire's Stone, Mercedes Lackey, Tanya Huff, the Liaden","Maritime/Celtic Folk Music, SF/Fantasy Filk, Oldies Rock; Heather Dale, Leslie Fish, Heather Alexander/Alexander James; Great Big Sea; Celtic Connection; Gordon Lightfoot; John Denver; The Rankin Family; Echo's Children; Simon & Garfunkel; Mary Black","cats, cross-stitching, computers","St. John's, Nfld/Labr, Canada",,,https://www.classy.org/fundraise?fcid=369091
0,,,"losing faith by daniel blythe, the time traveller's wife by audrey niffenegger, the god of small things by arundhati roy, never let me go by kazuo ishiguro, the wind up bird chronicle by haruki murakami, the preservationist by david maine, good omens by neil gaiman and terry",broken social scene feel good lost,"baking, corrupting the youth of today","Toronto, ON",sex educator,,
0,28,August 28,"Guy Gavriel Kay, Laurie R King, Elizabeth George, Ian Rankin, Brandon Sanderson, Jim Butcher, Jacqueline Carey, Patrick","Marie-Mai, E Nomine, Glee","digital art, walking, audiobooks, PC gaming",Mountain View,Writer,,
0,,,"Dan Abnett, The Lord Of The Rings, Dune, The Five People That You Meet In Heaven, Stephen Fry's Incomplete And Utter History Of Classical Music, Romance of Three Kingdoms, Ready Player One, Nine Princes In",Apollo Atmospheres and Soundtracks by Brian Eno,"Board Games, Music, Writing, Photography, Acting","Toronto, Canada","Writer, Composer, Game Guru at Snakes & Lattes",,
0,30,September 14,"The Runestaff Quartet, The Count Brass Trilogy, The Swords Trilogy, Orsinian Tales, Nochnoi Dozor, J.G. Ballard, Ursula K. LeGuin, Michael Moorcock, Sergei Lukyanenko, Garth Nix, Angela","Dead Can Dance, movie soundtracks by Hans Zimmer for example, Tangerine Dream, Vangelis, Tr/st, Orbital","chinchilla keeping, quasi-music noises, photography, movies, going to concerts and clubs, exercising at the gym",Toronto,"Writing, editing and transcription specialist.",,
0,27,,"Lord of the Rings, Game of Thrones, The Langoliers, Chase The Lightning, Goodnight Moon, Love You Forever, Where The Sidewalk Ends, The","Lord of the Rings soundtrack, The Hobbit soundtrack, Josh Groban.... Whatever relates to my novel at the time","Writing, karaoke, music, playing with my god-birds, hosting EFAD all year long!",Toronto,Reservationist,,
0,27,,"Lord of the Rings, Game of Thrones, The Langoliers, Chase The Lightning, Goodnight Moon, Love You Forever, Where The Sidewalk Ends, The",Whatever makes me think about what I'm writing,"Writing, music, playing with my god-birds, hosting EFAD all year long!",Toronto,Reservationist,,
0,24,,"A Tree Grows in Brooklyn, The Art of Fielding, Ender's Game, Jeffrey Eugenides, Ivan E","Frank Turner, the Forrest Gump soundtrack, Florence + the Machine, the Tragically Hip, Nicki Minaj","music, cooking and baking, drinking coffee, knitting","Muskoka, Ontario",cook,,
0,,,,,"drinking, opinion having",Toronto,keeping it,,
0,,,"The Fault in Our Stars, Looking for Alaska, Chandas",Silence.,Sleeping and other things that allow me to be living so I can write.,Newfoundland,,,
0,,,"Harry Potter, Odd Thomas, The Outsiders, To Kill a Mockingbird, Terry Pratchett, Stephen King, Neil Gaimain, Douglas","Classic rock, instrumental soundtracks, and random pop music that I would otherwise never admit to listening to","Theatre, drawing, reading (a lot), biking, riding the TTC with my mp3 player blaring, trolling the deep, dark recesses of the interwebs","Toronto, ON",Library tech/Retail,,
0,,,,,,Utah,,,
0,,,"JK Rowling, Patrick Rothfuss, George RR Martin, John Green, Diana Gabaldon, Suzanne Collins, Gail Carriger, Jim Butcher, Terry Pratchett, Neil",none,"reading, writing, gaming, music",Canada,cashier,,
0,,,"The Lunar Chronicles, Regina Doman, Rick Riordan, C.S. Lewis, J.R.R.",movie soundtracks,"drawing, writing",Behind you!!! Psych.,college student,,
0,,,"JK Rowling, Jim Butcher, Terry",Classic Rock,,"Orlando, FL",Teacher,Municipal Liaison,
0,,,"Harry Potter Series, Lightning Thief Series, , John Grisham, Tom Clancey, Dean Koontz, Sir Arthur Conan","The Remus Lupins, The Whomping Willows, Draco and the Malfoy's, Harry and the Potters","Geocaching, Orienteering, Theme Parks","Orlando, Florida",Teacher,,
0,,,,"Ambient, Solo Piano, New Age, Classical... (aka ""music without distracting words"")","Reading (of course!), geekery, cat herding.","Orlando, FL",Geek translator for nongeeks (technical,,
0,,,"Lisi Harrison, Ally Carter, Gail Carriger, Rick Riordan, Eoin Colfer, Jenny Lynn Barnes, Sara Shepherd, LS Murphy, Helene Dunbar, Holly","""My Teeny Bopper Station"" on Pandora","running, gardening, reading, writing (not always in that order)",Central Florida,Author. Analyst. Blogger. Mom. (Not in that order.),,
0,,,"Cora Carmack, Katie McGarry, Roni Loren, JRR","Keane, the Script, Muse, Movie Soundtracks","Running, History, Movies, Reading, Traveling","Orlando, FL",,,
0,"Inquisition, Elder Scrolls Skyrim, ESO",,"The Pellinor Quartet by Allison Croggon, Matthew Reilly","Soundtrack music scores, particularly Dragon","Writing, reading, sci-fi watching",Sydney,Diploma Trained Childcare Teacher,Municipal Liaison,
0,,,,,,,,,
0,,,,,"Reading, writing, coding","Sydney, Australia",Software,Municipal Liaison,
0,,,,,,"Sydney, Australia",,,
0,21,,"Emily Rodda, Maria V. Snyder, Mathew Reilly and everything",EVERYTHING! MWahahahaha....,"Writing, reading, singing and playing video games.","Sydney, Australia",Admin Assistant and PA,,
0,,,"Terry Pratchett, Neil Gaiman, HP Lovecraft, too many to","Trip hop, new age, down tempo, classical, slow jazz","Singing, drawing, computers, anything but writing (eh?)","Sydney, Australia",IT Coordinator,,
0,,,"Rick Riordan, Janet Evanovich, Lewis Caroll, Harper Lee, Cassandra Clare, Derek Landy, Anthony","Red, In Fear and Faith, Imagine Dragons, Thousand Foot Krutch, Adelitas Way, Breaking Benjamin","Writing, reading, gaming, listening to music, being a lazy shit",Sydney,Junior Admin,,
0,32,July 10,Seanan McGuire's Toby Daye series; Mira Grant's Newsflesh trilogy; Jacqueline Carey's Kushiel series; Stephen King's The,"Imagine Dragons, Seanan McGuire, Vienna Teng, Carsie Blanton, Talis Kimberley, Ed Kowalczyk","Reading, creating and consuming transformative works, putting together novel-related music playlists, collecting toy wombats, attacking people with firebats.","Melbourne, Victoria, Australia",Fraud analyst and pending published author.,Municipal Liaison,http://www.classy.org/fundraise?fcid=280118
0,,,,Not sure yet,"Reading, walking, procrastinating...","Sydney, Australia",,,
0,,,,,,,,,
0,,,"Douglas Adams, Jim Butcher, Meg Cabot, Tamora",Within Temptation and Lindsey Stirling,"writing, reading, photography, procrastination",Starport Immunity,Starport Immunity Administrator,,
0,,,,"Chvrches, Purity Ring, Deftones, Seanan McGuire","Games, drawing, writing, sewing, photography, harvesting puppies, cafe hopping",Good ol' Western Sydney,Jaded,,
0,,,,,,,,,
0,20,,,,"Writing, reading, riding, listening to some music, ...","Normally Hamburg, Germany. Currently Manly, Sydney, Australia.",,,
0,26,August 23,"Dickens, Pratchett, Austen,",Deathly silence,"Writing music, playing music, Nintendo, reading Internet comics","Camden Town, for now",Finance-ish,Municipal Liaison,
0,,,"Joseph Hansen, Jordan Castillo Price, Josh Lanyon, Brian Jacques, Dean Koontz, Jocelyn Drake, Ginn Hale, Alex Beecroft, Aleksandr Voinov, Gina Damico, Michael and Kathleen","Swan Lake performed by BSO, Scottish Folk, David Garrett",I read and I knit and that's it.,Massachusetts,Too busy reading. Come back later.,Municipal Liaison,
0,40,May 4,,,"History, research, meeting writers",Greater London,"Editor, coach,",,
0,,September 6,"The Winds of War + War and Remembrance - Herman Wouk | The Red Hat Club series - Haywood Smith | Abe Gilman's Ending - Glenn Frank | Gone with the Wind - Margaret Mitchell | Cain and Abel + The Prodigal Daughter - Jeffrey Archer | Airport - Arthur Hailey | Space - James A. Michener | The Right Stuff - Tom Wolfe | Any of the Jeeves & Wooster series - P.G. Wodehouse, Herman Wouk | Haywood Smith | Glenn Frank | Margaret Mitchell | Jeffrey Archer | Arthur Hailey | James A. Michener | Tom Wolfe | P.G. Wodehouse | Dale Brown | Tom","Silence, or something low-key.","Aircraft, Graphology, History, Journalism, Photography, Real Estate, Urbanism","Boston, MA",Photographer • Concierge • Dilettante,Municipal Liaison,
0,31,,"Discworld, Dresden Files, Hitchhiker's Guide, Dirk Gently, Philip K Dick, The D'Artagnan Romances, so on and so forth. ""Favorite"" is kind of a loaded","So much music. Just so, so much.","Being a giant, unabashed nerd. Also, reading and drinking beer. Sometimes at the same time!","Somerville, Massachusetts",Fake librarian,,
0,,,see my Goodreads favorites shelf - a long,,"Art, skating","Minneapolis, MN",author/ biomed,,
0,,,"Terry Pratchett, Stephen King, J.K. Rowling, Jim Butcher,",'pends on the mood,"Crafting, reading, costuming, theatre, whatever","Medford, MA, USA",Mad Culinary Scientist & Purveyor of Tea,,
0,,,"Josh Lanyon, Harper Fox, ZAMaxfield,",Silence,I'm hard pressed for hobby time but I do love my yoga,Northern WI,Science prof and sexy novel writer,,
0,,December 19,,,"petting dogs, drawing, reading",Hungary,homeschooled artist,,
0,47,December 22,"Josh Lanyon, Jordan Castillo Price, Jane Austen, Joseph Hansen, JK Rowling, EM Forster (and many, many","Contrary to my earlier insistance that singing distracts me, I seem to write fine with Adam Lambert in the background :)","singing, reading, Doctor Who, Torchwood, Ianto Jones, Stargate Atlantis, Sherlock, CSI, Elementary, etc...","Zutphen, the Netherlands",Author,,
0,,August 6,"Terry Pratchett, Josh Lanyon, Douglas Adams, Jordan Castillo Price, KJ Charles, Jordan L Hawk, Kazuo",Classical,,UK,"Writer, saddled with a day job to pay the coffee bill",,
0,,,"Remembrance of Things Past. One Hundred Years of Solitude. The Universe and the Teacup. The Radioactive Boy Scout. Cloud Atlas. Gilda Joyce, Psychic Investigator. The Elegant Universe. A Portrait of the Artist as a Young Man. The Origin of Species. Geek Love. The Cake Doctor. An Appeal For Sexual Deviancy (copyright 1960). His Dark Materials. The Orange Splot. The Secret Diary of Adrian Mole. The American Eagle Outfitters Manager's Employee Manual (a bit of comedy). Pride and Prejudice. A Brief History of Time. Lizard Music. An Abundance of Katherines. Middlesex. How to Breathe Underwater. Three Junes. Wonder Boys. Holes. Great Spy Stories from Fiction. 1990 Jeep YJ Owner's Manual. The Pleasure of My Company. The Origin of Consciousness in the Breakdown of the Bicameral Mind. The Toddler's Busy Book. Asimov's Chronology of Science and Discovery. Jonathon Livingston Seagull. Fondue Cookery. Emily Post's Pocket Book of Etiquette (size approx. 5x8 inches). A Fraction of the Whole.",The sweet sound of muffins being chewed.,"Reading, working out, buying stuff, science.","Lausanne, Switzerland",,,
0,,,"Drew Ferguson (""The Screwed Up Life of Charlie the Second""), Rachel",I don't listen to music when I write,"Crochet and sewing. Occasionally cooking, although now that I have a family, that's more like work.","Portland, OR",Writer,,
0,,,"The Stand, Dark Tower Series, David Eddings, Megan McCafferty, Cassandra Clare, Holly",Varies from pop to goth/industrial,"People watching, walking, reading, crocheting","Boston, MA",,,
0,25,,"Neil Gaiman, Stephen King, Liz Ashford, Margaret Peterson Haddix, Veronica Roth, Cassandra Clare, Gail Carson","Muse, Within Temptation, They Might Be Giants, L'arc~en~Ciel","Writing/Reading, Photography, Crafting, Viola, Archery","Portland, OR",Security Guard / Student,Municipal Liaison,
0,,,"Thomas Pynchon, Carolyn",whatever's playing at the bar,"reading (duh), writing (doubly duh), hiking, x-country skiing, knitting, math","Whitehorse, Yukon, Canada",,Municipal Liaison,
0,,,"Tolkien, C.S. Lewis, Madeleine L'Engle, R.A. Salvatore, George R.R. Martin, JK",Acapella,"Foraging, money-less living, helping others, jewelry-making, sewing, gardening, Netflix, Pathfinder, Magic the Gathering",NE Portland,,,
0,,,"Harry Potter, Chronicles of Narnia, Dragonriders of Pern, Belgariad, Mallorean, Dragons in our Midst, C. S. Lewis, J. K. Rowling, Bryan Davis, Gary Chapman, Jeff Gerke, Blake",silence,"Indie game developer, 3D artist, 3D animation, pencil drawings, homeschooling",Oregon,,,
0,,,"Fantasy, Adventure, Science Fiction, Young Adult (none of these are books or",Music my iTunes is able to find (apparently my iTunes library went missing),"Reading (is that what everyone does here?!), Movie Watching, Pop Culture Analyzing, Video Gaming, Rock Climbing, Texting (I'm making it a hobby now), Photo Taking, Lifting Heavy Things and Throwing Them-ing","Bend, Oregon",Awesomeness,Municipal Liaison,
0,,,"The Last Unicorn by Peter S. Beagle, The Singers of Time by Frederik Pohl, Lake of Secrets by Lael Littke, Stranger with My Face by Lois Duncan, Hitchhiker's Guide to the Galaxy by Douglas Adams, Prospero's Children by Jan Siegal, pretty much anyone who writes from the heart and make me","Loreena McKennitt, New Age music, Loreena McKennitt, Electronica, Loreena McKennitt, Musicals, some Pop music, some types of Rock, and did I mention Loreena McKennitt?","Writing, Reading, Music (both listening and writing), chatting with people, and Rise of the Guardians","Portland, OR",,,
0,,,"LOTR, HP, J.R.R. Tolkien, Anne McCaffrey, Georgette Heyer, Guy Gavriel Kay, Laurie R. King, Vorabiza, Olivia",Soundtracks and scores. (No lyrics to distract me.),"Harry Potter/Doctor Who/Torchwood/Inception/Star Trek/Sherlock Holmes, reading fanfic, knitting, crocheting. (Yup, I'm a geek.)",Ottawa,,,
0,,,"Stephen King, C.S. Lewis, George R.R. Martin and Brian","I have around seventy songs on a Spotify playlist, ranging from classical music, to Fuel, to Civil Wars. Hard to put a label on it.",Making/Breaking things.,"Milwaukie, Oregon",Hardwood Flooring.,,
0,,,"Three Musketeers, Hunger Games, Night's Dawn trilogy (space opera with",The silence of the house at 2am when all you can hear is the weather and the fridge,"Running, Writing, Ignoring the mess in my apartment","Tigard, Oregon, USA",Parcel Loader for UPS,,
0,,,"Terry Brooks, J.K.",Nightwish,"Writing, drawing, knitting, crocheting","Portland, OR","Student, Concierge",,
0,,,"Robert A. Heinlein, John Scalzi, Laini Taylor, Joss Whedon, Guillermo del Toro, Ernest Cline, Patricia",Enya,kite flying,"Portland, OR",Corporate Communications Consultent,Municipal Liaison,
0,30,,"Urban Fantasy - A Madness of Angels, WhiteCat, Dresden",Vitamin String Quartet,"Crafting, Music, Anime, Manga, Food","Durham, N.C.",Independent Author,Municipal Liaison,
0,34,September 28,"Alexander, Austen, Bronte, Butcher, Carey, Gaiman, King, Lewis, Martin, Mieville, Rice, Rowling, Tan,",Movie soundtracks and other instrumentals.,"Music, aquaria, video games, cooking, and gardening.","Corvallis, Oregon, USA",Bookstore Roustabout,Municipal Liaison,
0,23,,"Laurell K. Hamilton, Kelley Armstrong, Rachel Vincent, Suzanne Collins, James Dashner, Jim Butcher, and of course,","J-Pop/Rock, Lindsey Stirling, anything by Ellie Goulding, Jazz, Disney musical numbers, Classical","Video Games, Reading, Eating, Sleeping, Breathing, Existing, Reading, Talking Excessively, Sleeping, Learning, Still Talking, Drawing, CREATING~","Nashville, TN",,,
0,,,,Classical,"Knitting, hiking, food","Portland, OR",free soul,,
0,,,"Jennifer Armentrout, Pamela Clare, James",Video game soundtracks,"D&D, baking, cross-stitch, video games","Beaverton, Oregon",,Municipal Liaison,
0,,,Oh man that's a long list! I might come back and fill this in when I'm procrastinating writing my novel... (but it hasn't happened in the last three years so don't count on,Depends on my mood.,"Reading, Writing, Creating Art, Spending time with friends and family.","Portland, Oregon",Writer,,
0,,,"Charles Stross, Neal Stephenson, Terry Pratchett, Iain Banks, Neil Gaiman, some Julian May and Mary Gentle, Lovecraft's","New Order, Nine Inch Nails, Prodigy... a wall of sound rather than anything more delicate","reading, running, programming, cycling, Mornington Crescent","Portland, OR","writer, mostly working in program code",,
0,,,"The Dispossessed, Raw Shark Texts, Watership Down, Deerskin, Ender's",This year Bon Iver + Sigur Ros + Radiohead + Halsey + Poe + Muse,"music, illustration, sculpture","Spokane Valley, WA",Artist,,
0,19,,,Taylor Swift,"Sleeping, yelling","Bloomington, Indiana",Professional,,
0,,February 2,"Jane Austen, Tolkien, Harry Potter, Agatha Christie, and Sherlock","Soundtracks to Doctor Who, Sherlock, and Lord of the Rings, with a few costume drama soundtracks tossed in for good measure.","Doctor Who, Sherlock, Eating chocolate, and taking way too many pictures of my cat.","Vancouver WA, USA",Author,Municipal Liaison,
0,27,,"Lord of the Rings, The Hobbit, Kushiel's Dart, The Legend of Huma, Looking for Alaska, Game of Thrones, J.R.R. Tolkien, J.K. Rowling, David",,"music, anime, slaughtering virtual monsters as a source of stress relief, baking",,,,
0,20,June 21,"C. S. Lewis, Cornelia Funke, J. K. Rowling, and J. R. R.",Halsey and LIGHTS,"Reading and writing, playing MMORPGS, listening to music and attending concerts, training dogs, and drawing (rather badly)","Cary, NC",Dog trainer,,
0,,,"The Hunger Games, Pride & Prejudice, Harry Potter, The Book Thief,","Muse, Death Cab, The Killers, The Beatles, The Eagles","reading, road-tripping, antiquing","Tacoma, WA",writer,,
0,,,"Ayn Rand, Ira Levin,","60's Psychedelic (Rock, Pop, Folk, Soul)","Cooking, movies, politics","Forest Grove, OR",,,
0,28,September 28,"FEED, The Winter Long, Half-off Ragnarok, Skin Game, Idlewild | Seanan McGuire/Mira Grant, Jim Butcher, Nick","One Republic, Lady Gaga, I Fight Dragons, Evanescence, Fall Out Boy, My Chemical Romance, The Black Mages, video game soundtracks, various showtunes","theatre, television, cinema, drawing, and many more.","Los Angeles, California",Scenic Carpenter,Municipal Liaison,
0,,,"Neil Gaiman, Jumpa Lahiri, John Irving, Ann Tyler, David Sedaris, Khaled Hosseini, Virginia Woolf, Annie Proulx, Jonathan Frazen, Junot Diaz, Elizabeth Strout, Maria Semple, Raymond Carver, Harlan Ellison, Veronica Roth, Ilsa Bick, Lauren Oliver, Suzanne Collins, John Green, Stephen King, Jennifer Egan, Carol Rivka Brunt, Lois Lowry, Charlotte Bronte, Jane","blues, jazz, classical, pop, soundtracks, rock, alternative, world, cheesy 80's",,"Los Angeles, CA",writer,,
0,,,"Stephen King, JK",,"Writing, Reading, Photography, Movies/Cinematography","Los Angeles, CA",Writer & Screenwriter,,
0,27,September 22,,Anything without words. Lately that means the soundtrack from Portal 2 and music by Taylor Davis (who is AMAZING!!),"Knitting, baking, reading, playing way, way too many video games","Pasadena, CA",,,
0,,,,,,,,,
0,,March 20,"Cinder, Heir Apparent, The Squire's Tale, Artemis Fowl, Percy Jackson,","Instrumental, rap and all the Step-type musics. I really love dub step and drum step. Own City is great for writing as well.","Writing (obvious), watching good television shows, drawing, studying random facts that I can include in my worlds.","Los Angeles, CA",,,
0,,,"Jane Austen, JK Rowling, W. Somerset Maugham, Rick",Blue October,,"Los Angeles, CA",Bookkeeper,,
0,,,"Robin McKinley, Garth Nix, Arturo Perez-Reverte, Umberto Eco, H.P.","soundtracks, electronica, classical",bookshop hunting,"San Diego, CA, USA",scientist,Municipal Liaison,
0,,,"The Waves, 101 Ways to Bug Your Teacher, Harry Potter Series, Virginia Woolf, E.A. Poe, Shakespeare, J.K. Rowlings, Stephen Fry, Stephen King and Casey","For this novel, a nice mix of TVXQ (in all of it's incarnations) and some other K-Pop songs with just the right mix of inspirational English speaking singers/song writers.",,North Hollywood,"Personal Assistant to self, animals and others.",,
0,,,"Douglas Adams, Stephen King, Clive Barker, Anne Rice, Steinbeck, Joe R. Lansdale, Richard Matheson, Lisa Morton, Bentley",,Her Mamma she don't like me 'cuz I play in a rock n' roll band...,California,Guitar teacher/journalist,,
0,,,,cnn,,Los Angeles,,,
0,34,April 3,Too many to list. Too many to,"Savage Garden, Darren Hayes","Disneyland, Darren Hayes, learning.","Monrovia, CA",Volunteer for Village Book Shop www.glendoravillagebookshop.com,Municipal Liaison,https://www.classy.org/skybluefusion
0,,June 13,"Perks of Being a Wallflower, Kiss the Girl, The Fault in our",My imagined novel soundtrack,"Writing, reading, singing, having great conversations",Los Angeles,Education Program Coordinator,,
0,,January 14,,classical/movie score. lyrics are distracting,"knitting, reading, running, costuming, spending way too much time online. amd maybe sleep","Los Angeles, CA",office,,
